id,name,description,category,url,frameworks,languages,features,integrations,maturityScore,popularityScore,pricing,notes
"072d3bb4-9ec9-4169-b3b8-0c8ec006bbeb","Lovable","AI-powered platform for creating full-stack websites via natural language.","AI Coding Tools","https://lovable.dev","React;TypeScript;Tailwind CSS;Vite","JavaScript;TypeScript","Website and app builder;UI design;templates","GitHub;Supabase;Stripe;Figma;OpenAI;Anthropic","8.3","8.9","Free tier, $25 pro tier","End-to-end automation, great for MVPs, user-friendly for non-coders"
"6568145c-7421-4f28-95c7-97e438a3b538","ChatGPT","Conversational AI for code generation, debugging, and programming assistance.","AI Coding Tools","https://chatgpt.com","React;Django;Flask","Python;JavaScript;TypeScript;Java;C++","Code generation;debugging;explanation;natural language to code","OpenAI API;GitHub Copilot;VS Code;Jupyter","9.5","9.8","Free tier, Plus $20/month, Team/Enterprise custom","Versatile, excellent for learning, vast knowledge base"
"92acd68c-25da-41b8-a079-20b587d9fd4a","Gemini (CLI)","Google's AI with CLI for code generation and multimodal inputs.","AI Coding Tools","https://gemini.google.com","Android;Web;Flutter","Java;Kotlin;JavaScript;TypeScript","Code Assist;multimodal prompts;CLI;Google Cloud integration","Google Cloud;Android Studio;VS Code;JetBrains","9","9.2","Free with limits, Pro $20/month","Multimodal coding, fast inference, good for mobile/web"
"95c1c95f-2e37-4d0f-9db2-49ce07707d26","Cody","Enterprise AI code assistant for complex codebases, speed, and consistency.","AI Coding Tools","https://sourcegraph.com/cody","All code hosts/editors","All programming languages","Accelerates dev;reusable prompts;enterprise-grade security","All code hosts/editors","8","8","Enterprise custom","Trusted by enterprises, saves 5-6 hours/week, doubles coding speed"
"3b361160-8df2-4f09-a2d0-c5b9de933d35","Claude/Claude Code","AI for developers to write/test/debug/analyze codebases.","AI Coding Tools","https://www.anthropic.com/solutions/coding","All frameworks","All programming languages","Write/test/debug;codebase analysis;GitHub integration;terminal embedding","GitHub;GitLab;Vercel;Cursor;Sourcegraph;Replit","8","9","Custom pricing","Leads SWE-bench (74.5%), 95% test time reduction, clean code"
"68023854-badf-4bf2-9383-a2b76f7a7a50","GitHub Copilot","AI pair programmer for contextualized code assistance.","AI Coding Tools","https://github.com/features/copilot","JavaScript;OpenAI GPT-5;Claude Opus 4.1;Gemini 2.0 Flash","All major programming languages","Code completions;chat;explanations;code review;Autofix","VS Code;Visual Studio;Vim;Neovim;JetBrains;Azure Data Studio","9","9.5","Free: $0, Pro: $10/month, Pro+: $39/month, Business/Enterprise custom","Widely adopted, 55% productivity boost, multi-model support"
"68bebd9a-1573-4b44-89d2-845be0058639","IBM watsonx Code Assistant","AI for faster code creation and modernization across SDLC.","AI Coding Tools","https://www.ibm.com/products/watsonx-code-assistant","Python;Java;C;C++;Go;JavaScript;TypeScript","Python;Java;C;C++;Go;JavaScript;TypeScript","Chat recommendations;automate tasks;generate/explain/test code;IP indemnification","Enterprise systems","8","7","30-day free trial, 25% off Essentials Plan for 3 months","IDC MarketScape leader, 90% time savings, 80% legacy code transformed"
"6e39e74b-ff38-4a02-af74-5f3dc838b9f3","Bolt","AI web builder for creating apps/sites via natural language.","AI Coding Tools","https://bolt.new","React;Next.js","JavaScript;TypeScript","Natural language app building;UI generation;code export;rapid prototyping","Stripe;GitHub;OpenAI;Anthropic","7.5","8.2","Custom pricing","Easiest vibe coding, fast MVP creation, user-friendly"
"f0866e93-5c74-41c1-8b1c-3fc49116c2a5","Cursor","AI code editor for predicting edits and natural language coding.","IDE/Development","https://www.cursor.com","All frameworks","All programming languages","Predicts edits;answers codebase queries;natural language editing","GitHub;OpenAI;Anthropic","7","8","Custom pricing","Trusted by Samsung/Stripe/Shopify, fast autocompletion"
"c8ff4946-ade8-4a7c-af78-a1509d7c3873","v0","Vercel's AI tool for generating UI components from natural language.","Frontend/Design","https://v0.dev","React;Tailwind CSS","JavaScript;TypeScript","AI UI generation;code export;natural language to design;templates","Vercel;GitHub","8","8.5","Custom pricing","Fast UI prototyping, Vercel ecosystem integration, high-quality code"
